"",PERSONAL FINANCIAL STATEMENT,FORM PFS
"",,COVER SHEET
"",,PAGE 1
"",PAGE #,
"",Filed in accordance with chapter 572 of the Government Code. 14,
"","For filings required in 2019, covering calendar year ending December 31, 2018.",
"",ACCOUNT #,
"",Use FORM PFS--INSTRUCTION GUIDE when completing this form. 00019581,
1,NAME TITLE; FIRST; MI OFFICE USE ONLY,
"",The Honorable John,
"",Date Received,
"",ELECTRONICALLY FILED,
"",NICKNAME; LAST; SUFFIX 04/30/2019,
"",Whitmire,
2,ADDRESS ADDRESS / PO BOX;APT / SUITE #;CITY;STATE;ZIP,
"",Receipt #,
"",HD / PM,Amount
"",Date Processed,
"",X (CHECK IF FILER'S HOME ADDRESS),
3,TELEPHONE AREA CODEPHONE NUMBER;EXTENSION Date Imaged,
"",NUMBER,
4,REASON,
"",FOR FILIING,
"",STATEMENT X CANDIDATE __S_e_n__a_te_ _D_i_s_tr_i_c_t _1_5___________________________________________,(INDICATE OFFICE)
"",ELECTED OFFICER ______________________________________________________,(INDICATE OFFICE)
"",APPOINTED OFFICER ____________________________________________________,(INDICATE AGENCY)
"",EXECUTIVE HEAD _______________________________________________________,(INDICATE AGENCY)
"",FORMER OR RETIRED JUDGE SITTING BY ASSIGNMENT,
"",STATE PARTY CHAIR ____________________________________________________,(INDICATE PARTY)
"",OTHER ________________________________________________________________,(INDICATE POSITION)
5,Family members whose financial activity you are reporting (see instructions).,
"",SPOUSE _____________________________________________________________________________________________________,
"",DEPENDENT CHILD 1.  ______________________________________________________________________________________,
"",2.  ______________________________________________________________________________________,
"",3.  ______________________________________________________________________________________,
"","In Parts 1 through 18, you will disclose your financial activity during the preceding calendar year. In Parts 1 through 14, you are",
"","required to disclose not only your own financial activity, but also that of your spouse or a dependent child (see instructions).",
"",SOURCES OF OCCUPATIONAL INCOMEPART 1A
"","If the requested information is not applicable, indicate that on Page 2 of the Cover Sheet, and DO NOT include this page in the report."
"","When reporting information about a dependent child's activity, indicate the child about whom you are reporting by providing the number under"
"",which the child is listed on the Cover Sheet.
1,INFORMATION RELATES TO
"",X FILER SPOUSE DEPENDENT CHILD _____
2,EMPLOYMENT NAME AND ADDRESS OF EMPLOYER / POSITION HELD
"",X EMPLOYED BY ANOTHER (Check if Filer's Home Address)
"",EMPLOYER
"",State of Texas
"",ADDRESS / PO BOX;APT / SUITE #;CITY;STATE;ZIP CODE
"",P.O. Box 12068
"","Austin, TX 78701"
"",POSITION HELD
"",State Senator
"",NATURE OF OCCUPATION
"",SELF-EMPLOYED
"",INFORMATION RELATES TO
"",X FILER SPOUSE DEPENDENT CHILD _____
"",EMPLOYMENT NAME AND ADDRESS OF EMPLOYER / POSITION HELD
"",X EMPLOYED BY ANOTHER (Check if Filer's Home Address)
"",EMPLOYER
"",Locke Lord
"",ADDRESS / PO BOX;APT / SUITE #;CITY;STATE;ZIP CODE
"","600 Travis, Suite 2800"
"","Houston, TX 77002"
"",POSITION HELD
"",Attorney at Law
"",NATURE OF OCCUPATION
"",SELF-EMPLOYED
"",INFORMATION RELATES TO
"",X FILER SPOUSE DEPENDENT CHILD _____
"",EMPLOYMENT NAME AND ADDRESS OF EMPLOYER / POSITION HELD
"",EMPLOYED BY ANOTHER X (Check if Filer's Home Address)
"",EMPLOYER
"",SELF
"",ADDRESS / PO BOX;APT / SUITE #;CITY;STATE;ZIP CODE
"",POSITION HELD
"",NATURE OF OCCUPATION
"",X SELF-EMPLOYED Attorney at Law
"",MUTUAL FUNDSPART 4
"","If the requested information is not applicable, indicate that on Page 2 of the Cover Sheet, and DO NOT include this page in the report."
"","List each mutual fund and the number of shares in that mutual fund that you, your spouse, or a dependent child held or acquired during the"
"",calendar year and indicate the category of the number of shares of mutual funds held or acquired. If some or all of the shares of a mutual fund
"","were sold, also indicate the category of the amount of the net gain or loss realized from the sale. For more nformation, see FORM PFS--"
"",INSTRUCTION GUIDE.
"","When reporting information about a dependent child's activity, indicate the child about whom you are reporting by providing the number under"
"",which the child is listed on the Cover Sheet.
1,MUTUAL FUND NAME
"",Sanders Morris Harris - Managed Accounts
2,SHARES OF MUTUAL FUND
"",HELD OR ACQUIRED BY X FILER SPOUSE DEPENDENT CHILD ______________
3,NUMBER OF SHARES OF
"","MUTUAL FUND LESS THAN 100 100 TO 499 500 TO 999 1,000 TO 4,999"
"","5,000 to 9,999 X 10,000 OR MORE"
4,IF SOLD NET GAIN
"","LESS THAN $5,000 $5,000 - $9,999 $10,000 - $24,999 $25,000--OR MORE"
"",NET LOSS
"","INCOME FROM INTEREST, DIVIDENDS, ROYALTIES & RENTSPART 5"
"","If the requested information is not applicable, indicate that on Page 2 of the Cover Sheet, and DO NOT include this page in the report."
"","List each source of income you, your spouse, or a dependent child received in excess of $500 that was derived from interest, dividends, royalties,"
"","and rents during the calendar year and indicate the category of the amount of the income. For more information, see FORM PFS--"
"",INSTRUCTION GUIDE.
"","When reporting information about a dependent child's activity, indicate the child about whom you are reporting by providing the number under"
"",which the child is listed on the Cover Sheet.
1,SOURCE OF INCOME NAME AND ADDRESS
"",Rents
"",Publicly held corporation ADDRESS / PO BOX;APT / SUITE #;CITY;STATE;ZIP CODE
"","1111 W. 12th St., #104"
"","Austin, TX 78703-4157"
2,RECEIVED BY
"",X FILER SPOUSE DEPENDENT CHILD ______________
3,AMOUNT
"","$500 - $4,999 $5,000 - $9,999 $10,000 - $24,999 X $25,000--OR MORE"
"",PERSONAL NOTES AND LEASE AGREEMENTSPART 6
"","If the requested information is not applicable, indicate that on Page 2 of the Cover Sheet, and DO NOT include this page in the report."
"","Identify each guarantor of a loan and each person or financial institution to whom you, your spouse, or a dependent child had a total financial"
"","liability of more than $1,000 in the form of a personal note or notes or lease agreement at any time during the calendar year and indicate the"
"","category of the amount of the liability. For more information, see FORM PFS--INSTRUCTION GUIDE."
"","When reporting information about a dependent child's activity, indicate the child about whom you are reporting by providing the number under"
"",which the child is listed on the Cover Sheet.
1,PERSON OR INSTITUTION BMW Financial Services
"",HOLDING NOTE OR
"",LEASE AGREEMENT
2,LIABILITY OF
"",X FILER SPOUSE DEPENDENT CHILD ______________
3,GUARANTOR NONE
4,AMOUNT
"","$1,000 - $4,999 $5,000 - $9,999 $10,000 - $24,999 X $25,000--OR MORE"
"",PERSON OR INSTITUTION Trustmark Bank (3 loans)
"",HOLDING NOTE OR
"",LEASE AGREEMENT
"",LIABILITY OF
"",X FILER SPOUSE DEPENDENT CHILD ______________
"",GUARANTOR NONE
"",AMOUNT
"","$1,000 - $4,999 $5,000 - $9,999 $10,000 - $24,999 X $25,000--OR MORE"
"",PERSON OR INSTITUTION Kubota Credit Corporation
"",HOLDING NOTE OR
"",LEASE AGREEMENT
"",LIABILITY OF
"",X FILER SPOUSE DEPENDENT CHILD ______________
"",GUARANTOR NONE
"",AMOUNT
"","$1,000 - $4,999 X $5,000 - $9,999 $10,000 - $24,999 $25,000--OR MORE"
"",INTERESTS IN REAL PROPERTYPART 7A
"","If the requested information is not applicable, indicate that on Page 2 of the Cover Sheet, and DO NOT include this page in the report."
"","Describe all beneficial interests in real property held or acquired by you, your spouse, or a dependent child during the calendar year. If the"
"","interest was sold, also indicate the category of the amount of the net gain or loss realized from the sale.  For an explanation of ""beneficial"
"","interest"" and other specific directions for completing this section, see FORM PFS--INSTRUCTION GUIDE."
"","When reporting information about a dependent child's activity, indicate the child about whom you are reporting by providing the number under"
"",which the child is listed on the Cover Sheet.
1,HELD OR ACQUIRED BY
"",X FILER SPOUSE DEPENDENT CHILD ______________
2,"STREET ADDRESS STREET ADDRESS, INCLUDING CITY, COUNTY, AND STATE"
"",NOT AVAILABLE
"",X CHECK IF FILER'S
"",HOME ADDRESS
3,DESCRIPTION NUMBER OF LOTS OR ACRES AND NAME OF COUNTY WHERE LOCATED
"",X LOTS 1.00000 lots
"",ACRES Harris County
4,NAMES OF PERSONS Trustmark
"",RETAINING AN INTEREST
"",NOT APPLICABLE
"",(SEVERED MINERAL
"",INTEREST)
5,IF SOLD NET GAIN
"","LESS THAN $5,000 $5,000 - $9,999 $10,000 - $24,999 $25,000--OR MORE"
"",NET LOSS
"",HELD OR ACQUIRED BY
"",X FILER SPOUSE DEPENDENT CHILD ______________
"","STREET ADDRESS STREET ADDRESS, INCLUDING CITY, COUNTY, AND STATE"
"","NOT AVAILABLE 1111 W. 12th St., #104"
"",CHECK IF FILER'S
"","HOME ADDRESS Austin, TX 78703"
"",DESCRIPTION NUMBER OF LOTS OR ACRES AND NAME OF COUNTY WHERE LOCATED
"",LOTS
"",ACRES Travis County
"",NAMES OF PERSONS Trustmark
"",RETAINING AN INTEREST
"",NOT APPLICABLE
"",(SEVERED MINERAL
"",INTEREST)
"",IF SOLD NET GAIN
"","LESS THAN $5,000 $5,000 - $9,999 $10,000 - $24,999 $25,000--OR MORE"
"",NET LOSS
"",INTERESTS IN REAL PROPERTYPART 7A
"","If the requested information is not applicable, indicate that on Page 2 of the Cover Sheet, and DO NOT include this page in the report."
"","Describe all beneficial interests in real property held or acquired by you, your spouse, or a dependent child during the calendar year. If the"
"","interest was sold, also indicate the category of the amount of the net gain or loss realized from the sale.  For an explanation of ""beneficial"
"","interest"" and other specific directions for completing this section, see FORM PFS--INSTRUCTION GUIDE."
"","When reporting information about a dependent child's activity, indicate the child about whom you are reporting by providing the number under"
"",which the child is listed on the Cover Sheet.
1,HELD OR ACQUIRED BY
"",X FILER SPOUSE DEPENDENT CHILD ______________
2,"STREET ADDRESS STREET ADDRESS, INCLUDING CITY, COUNTY, AND STATE"
"","NOT AVAILABLE 1111 W. 12th St., #120"
"",CHECK IF FILER'S
"","HOME ADDRESS Austin, TX 78703"
3,DESCRIPTION NUMBER OF LOTS OR ACRES AND NAME OF COUNTY WHERE LOCATED
"",LOTS
"",ACRES Travis County
4,NAMES OF PERSONS Trustmark
"",RETAINING AN INTEREST
"",NOT APPLICABLE
"",(SEVERED MINERAL
"",INTEREST)
5,IF SOLD NET GAIN
"","LESS THAN $5,000 $5,000 - $9,999 $10,000 - $24,999 $25,000--OR MORE"
"",NET LOSS
"",HELD OR ACQUIRED BY
"",X FILER SPOUSE DEPENDENT CHILD ______________
"","STREET ADDRESS STREET ADDRESS, INCLUDING CITY, COUNTY, AND STATE"
"",NOT AVAILABLE 4001 Little Cedar Creek Rd.
"",CHECK IF FILER'S
"","HOME ADDRESS Chappell Hill, TX 77426-6251"
"",DESCRIPTION NUMBER OF LOTS OR ACRES AND NAME OF COUNTY WHERE LOCATED
"",LOTS 131.00000 acres
"",X ACRES Washington County
"",NAMES OF PERSONS
"",RETAINING AN INTEREST
"",X NOT APPLICABLE
"",(SEVERED MINERAL
"",INTEREST)
"",IF SOLD NET GAIN
"","LESS THAN $5,000 $5,000 - $9,999 $10,000 - $24,999 $25,000--OR MORE"
"",NET LOSS
"",INTERESTS IN REAL PROPERTYPART 7A
"","If the requested information is not applicable, indicate that on Page 2 of the Cover Sheet, and DO NOT include this page in the report."
"","Describe all beneficial interests in real property held or acquired by you, your spouse, or a dependent child during the calendar year. If the"
"","interest was sold, also indicate the category of the amount of the net gain or loss realized from the sale.  For an explanation of ""beneficial"
"","interest"" and other specific directions for completing this section, see FORM PFS--INSTRUCTION GUIDE."
"","When reporting information about a dependent child's activity, indicate the child about whom you are reporting by providing the number under"
"",which the child is listed on the Cover Sheet.
1,HELD OR ACQUIRED BY
"",X FILER SPOUSE DEPENDENT CHILD ______________
2,"STREET ADDRESS STREET ADDRESS, INCLUDING CITY, COUNTY, AND STATE"
"",X NOT AVAILABLE
"",CHECK IF FILER'S
"",HOME ADDRESS
3,DESCRIPTION NUMBER OF LOTS OR ACRES AND NAME OF COUNTY WHERE LOCATED
"",LOTS 118.50000 acres
"",X ACRES Washington County
4,NAMES OF PERSONS
"",RETAINING AN INTEREST
"",X NOT APPLICABLE
"",(SEVERED MINERAL
"",INTEREST)
5,IF SOLD NET GAIN
"","LESS THAN $5,000 $5,000 - $9,999 $10,000 - $24,999 $25,000--OR MORE"
"",NET LOSS
"",HELD OR ACQUIRED BY
"",X FILER SPOUSE DEPENDENT CHILD ______________
"","STREET ADDRESS STREET ADDRESS, INCLUDING CITY, COUNTY, AND STATE"
"",X NOT AVAILABLE
"",CHECK IF FILER'S
"",HOME ADDRESS
"",DESCRIPTION NUMBER OF LOTS OR ACRES AND NAME OF COUNTY WHERE LOCATED
"",LOTS 37.10000 acres
"",X ACRES Washington County
"",NAMES OF PERSONS
"",RETAINING AN INTEREST
"",X NOT APPLICABLE
"",(SEVERED MINERAL
"",INTEREST)
"",IF SOLD NET GAIN
"","LESS THAN $5,000 $5,000 - $9,999 $10,000 - $24,999 $25,000--OR MORE"
"",NET LOSS
"",INTERESTS IN REAL PROPERTYPART 7A
"","If the requested information is not applicable, indicate that on Page 2 of the Cover Sheet, and DO NOT include this page in the report."
"","Describe all beneficial interests in real property held or acquired by you, your spouse, or a dependent child during the calendar year. If the"
"","interest was sold, also indicate the category of the amount of the net gain or loss realized from the sale.  For an explanation of ""beneficial"
"","interest"" and other specific directions for completing this section, see FORM PFS--INSTRUCTION GUIDE."
"","When reporting information about a dependent child's activity, indicate the child about whom you are reporting by providing the number under"
"",which the child is listed on the Cover Sheet.
1,HELD OR ACQUIRED BY
"",X FILER SPOUSE DEPENDENT CHILD ______________
2,"STREET ADDRESS STREET ADDRESS, INCLUDING CITY, COUNTY, AND STATE"
"",X NOT AVAILABLE
"",CHECK IF FILER'S
"",HOME ADDRESS
3,DESCRIPTION NUMBER OF LOTS OR ACRES AND NAME OF COUNTY WHERE LOCATED
"",LOTS 27.00000 acres
"",X ACRES Washington County
4,NAMES OF PERSONS
"",RETAINING AN INTEREST
"",X NOT APPLICABLE
"",(SEVERED MINERAL
"",INTEREST)
5,IF SOLD NET GAIN
